year,state,dem_votes,gop_votes,ind_votes,source
1948,Alabama,0,"40,930","174,050",https://uselectionatlas.org/RESULTS/
1948,Arizona,"95,251","77,597","4,217",https://uselectionatlas.org/RESULTS/
1948,Arkansas,"149,659","50,959","41,857",https://uselectionatlas.org/RESULTS/
1948,California,"1,913,134","1,895,269","213,135",https://uselectionatlas.org/RESULTS/
1948,Colorado,"267,288","239,714","8,235",https://uselectionatlas.org/RESULTS/
1948,Connecticut,"423,297","437,754","22,467",https://uselectionatlas.org/RESULTS/
1948,Delaware,"67,813","69,588","1,672",https://uselectionatlas.org/RESULTS/
1948,Florida,"281,988","194,280","101,375",https://uselectionatlas.org/RESULTS/
1948,Georgia,"254,646","76,691","87,427",https://uselectionatlas.org/RESULTS/
1948,Idaho,"107,370","101,514","5,932",https://uselectionatlas.org/RESULTS/
1948,Illinois,"1,994,715","1,961,103","28,228",https://uselectionatlas.org/RESULTS/
1948,Indiana,"807,833","821,079","27,302",https://uselectionatlas.org/RESULTS/
1948,Iowa,"522,380","494,018","21,874",https://uselectionatlas.org/RESULTS/
1948,Kansas,"351,902","423,039","13,878",https://uselectionatlas.org/RESULTS/
1948,Kentucky,"466,756","341,210","14,692",https://uselectionatlas.org/RESULTS/
1948,Louisiana,"136,344","72,657","207,335",https://uselectionatlas.org/RESULTS/
1948,Maine,"111,916","150,234","2,639",https://uselectionatlas.org/RESULTS/
1948,Maryland,"286,521","294,814","15,400",https://uselectionatlas.org/RESULTS/
1948,Massachusetts,"1,151,788","909,370","45,988",https://uselectionatlas.org/RESULTS/
1948,Michigan,"1,003,448","1,038,595","67,566",https://uselectionatlas.org/RESULTS/
1948,Minnesota,"692,966","483,617","35,643",https://uselectionatlas.org/RESULTS/
1948,Mississippi,"19,384","5,043","167,763",https://uselectionatlas.org/RESULTS/
1948,Missouri,"917,315","655,039","6,274",https://uselectionatlas.org/RESULTS/
1948,Montana,"119,071","96,770","8,437",https://uselectionatlas.org/RESULTS/
1948,Nebraska,"224,165","264,774",1,https://uselectionatlas.org/RESULTS/
1948,Nevada,"31,291","29,357","1,469",https://uselectionatlas.org/RESULTS/
1948,New Hampshire,"107,995","121,299","2,146",https://uselectionatlas.org/RESULTS/
1948,New Jersey,"895,455","981,124","72,976",https://uselectionatlas.org/RESULTS/
1948,New Mexico,"105,464","80,303","1,296",https://uselectionatlas.org/RESULTS/
1948,New York,"2,780,204","2,841,163","557,135",https://uselectionatlas.org/RESULTS/
1948,North Carolina,"459,070","258,572","73,567",https://uselectionatlas.org/RESULTS/
1948,North Dakota,"95,812","115,139","9,765",https://uselectionatlas.org/RESULTS/
1948,Ohio,"1,452,791","1,445,684","37,596",https://uselectionatlas.org/RESULTS/
1948,Oklahoma,"452,782","268,817",0,https://uselectionatlas.org/RESULTS/
1948,Oregon,"243,147","260,904","20,029",https://uselectionatlas.org/RESULTS/
1948,Pennsylvania,"1,752,426","1,902,197","80,525",https://uselectionatlas.org/RESULTS/
1948,Rhode Island,"188,736","135,787","3,179",https://uselectionatlas.org/RESULTS/
1948,South Carolina,"34,423","5,386","102,762",https://uselectionatlas.org/RESULTS/
1948,South Dakota,"117,653","129,651","2,801",https://uselectionatlas.org/RESULTS/
1948,Tennessee,"270,402","202,914","76,967",https://uselectionatlas.org/RESULTS/
1948,Texas,"824,235","303,467","121,730",https://uselectionatlas.org/RESULTS/
1948,Utah,"149,151","124,402","2,752",https://uselectionatlas.org/RESULTS/
1948,Vermont,"45,557","75,926","1,899",https://uselectionatlas.org/RESULTS/
1948,Virginia,"200,786","172,070","46,400",https://uselectionatlas.org/RESULTS/
1948,Washington,"476,165","386,315","42,579",https://uselectionatlas.org/RESULTS/
1948,West Virginia,"429,188","316,251","3,311",https://uselectionatlas.org/RESULTS/
1948,Wisconsin,"647,310","590,959","38,531",https://uselectionatlas.org/RESULTS/
1948,Wyoming,"52,354","47,947","1,124",https://uselectionatlas.org/RESULTS/
1948,,"24,179,347","21,991,292","2,623,926",https://uselectionatlas.org/RESULTS/
1952,Alabama,"275,075","149,231","1,814",https://uselectionatlas.org/RESULTS/
1952,Arizona,"108,528","152,042",0,https://uselectionatlas.org/RESULTS/
1952,Arkansas,"226,300","177,155","1,345",https://uselectionatlas.org/RESULTS/
1952,California,"2,197,548","2,897,310","46,991",https://uselectionatlas.org/RESULTS/
1952,Colorado,"245,504","379,782","4,817",https://uselectionatlas.org/RESULTS/
1952,Connecticut,"481,649","611,012","4,250",https://uselectionatlas.org/RESULTS/
1952,Delaware,"83,315","90,059",651,https://uselectionatlas.org/RESULTS/
1952,Florida,"444,950","544,036",351,https://uselectionatlas.org/RESULTS/
1952,Georgia,"456,823","198,979",1,https://uselectionatlas.org/RESULTS/
1952,Idaho,"95,081","180,707",466,https://uselectionatlas.org/RESULTS/
1952,Illinois,"2,013,920","2,457,327","9,811",https://uselectionatlas.org/RESULTS/
1952,Indiana,"801,530","1,136,259","17,536",https://uselectionatlas.org/RESULTS/
1952,Iowa,"451,513","808,906","8,354",https://uselectionatlas.org/RESULTS/
1952,Kansas,"273,296","616,302","6,568",https://uselectionatlas.org/RESULTS/
1952,Kentucky,"495,729","495,029","2,390",https://uselectionatlas.org/RESULTS/
1952,Louisiana,"345,027","306,925",0,https://uselectionatlas.org/RESULTS/
1952,Maine,"118,806","232,353",627,https://uselectionatlas.org/RESULTS/
1952,Maryland,"395,337","499,424","7,313",https://uselectionatlas.org/RESULTS/
1952,Massachusetts,"1,083,525","1,292,325","7,548",https://uselectionatlas.org/RESULTS/
1952,Michigan,"1,230,657","1,551,529","16,406",https://uselectionatlas.org/RESULTS/
1952,Minnesota,"608,458","763,211","7,814",https://uselectionatlas.org/RESULTS/
1952,Mississippi,"172,566","112,966",0,https://uselectionatlas.org/RESULTS/
1952,Missouri,"929,830","959,429","2,803",https://uselectionatlas.org/RESULTS/
1952,Montana,"106,213","157,394","1,430",https://uselectionatlas.org/RESULTS/
1952,Nebraska,"188,057","421,603",0,https://uselectionatlas.org/RESULTS/
1952,Nevada,"31,688","50,502",0,https://uselectionatlas.org/RESULTS/
1952,New Hampshire,"106,663","166,287",0,https://uselectionatlas.org/RESULTS/
1952,New Jersey,"1,015,902","1,374,613","29,039",https://uselectionatlas.org/RESULTS/
1952,New Mexico,"105,661","132,170",777,https://uselectionatlas.org/RESULTS/
1952,New York,"3,104,601","3,952,815","70,825",https://uselectionatlas.org/RESULTS/
1952,North Carolina,"652,803","558,107",0,https://uselectionatlas.org/RESULTS/
1952,North Dakota,"76,694","191,712","1,721",https://uselectionatlas.org/RESULTS/
1952,Ohio,"1,600,367","2,100,391",0,https://uselectionatlas.org/RESULTS/
1952,Oklahoma,"430,939","518,045",0,https://uselectionatlas.org/RESULTS/
1952,Oregon,"270,579","420,815","3,665",https://uselectionatlas.org/RESULTS/
1952,Pennsylvania,"2,146,269","2,415,789","18,911",https://uselectionatlas.org/RESULTS/
1952,Rhode Island,"203,293","210,935",270,https://uselectionatlas.org/RESULTS/
1952,South Carolina,"173,004","168,082",0,https://uselectionatlas.org/RESULTS/
1952,South Dakota,"90,426","203,857",0,https://uselectionatlas.org/RESULTS/
1952,Tennessee,"443,710","446,147","2,696",https://uselectionatlas.org/RESULTS/
1952,Texas,"969,228","1,102,878","3,840",https://uselectionatlas.org/RESULTS/
1952,Utah,"135,364","194,190",0,https://uselectionatlas.org/RESULTS/
1952,Vermont,"43,355","109,717",485,https://uselectionatlas.org/RESULTS/
1952,Virginia,"268,677","349,037","1,975",https://uselectionatlas.org/RESULTS/
1952,Washington,"492,845","599,107","10,756",https://uselectionatlas.org/RESULTS/
1952,West Virginia,"453,578","419,970",0,https://uselectionatlas.org/RESULTS/
1952,Wisconsin,"622,175","979,744","5,451",https://uselectionatlas.org/RESULTS/
1952,Wyoming,"47,934","81,047",270,https://uselectionatlas.org/RESULTS/
1952,,"27,314,992","33,937,252","299,967",https://uselectionatlas.org/RESULTS/
1956,Alabama,"280,844","195,694","20,333",https://uselectionatlas.org/RESULTS/
1956,Arizona,"112,880","176,990",303,https://uselectionatlas.org/RESULTS/
1956,Arkansas,"213,277","186,287","7,008",https://uselectionatlas.org/RESULTS/
1956,California,"2,420,135","3,027,668","18,552",https://uselectionatlas.org/RESULTS/
1956,Colorado,"263,997","394,479","4,598",https://uselectionatlas.org/RESULTS/
1956,Connecticut,"405,079","711,837",205,https://uselectionatlas.org/RESULTS/
1956,Delaware,"79,421","98,057",510,https://uselectionatlas.org/RESULTS/
1956,Florida,"480,371","643,849",0,https://uselectionatlas.org/RESULTS/
1956,Georgia,"441,094","216,652","5,734",https://uselectionatlas.org/RESULTS/
1956,Idaho,"105,868","166,979",142,https://uselectionatlas.org/RESULTS/
1956,Illinois,"1,775,682","2,623,327","8,398",https://uselectionatlas.org/RESULTS/
1956,Indiana,"783,908","1,182,811","7,888",https://uselectionatlas.org/RESULTS/
1956,Iowa,"501,858","729,187","3,519",https://uselectionatlas.org/RESULTS/
1956,Kansas,"296,317","566,878","3,048",https://uselectionatlas.org/RESULTS/
1956,Kentucky,"476,453","572,192","5,160",https://uselectionatlas.org/RESULTS/
1956,Louisiana,"243,977","329,047","44,520",https://uselectionatlas.org/RESULTS/
1956,Maine,"102,468","249,238",0,https://uselectionatlas.org/RESULTS/
