series,cor_with_elec
Manufacturing jobs,0.9097712627919785
Total construction spending,0.8468601060028198
Income excl transfers,0.8060457253488126
Payrolls,0.804509810317517
Imports,0.7531105953245167
factor,0.7228231695831517
Ind. prdct,0.705625412511161
Unemployment,0.6992917051310907
New manufactruing orders,0.6829328258912772
Exports,0.6738114138866208
Retail trade and food services sales,0.5219201151800095
Manf. and trade sales,0.48151575613501185
Gov. expenditures and investment,0.43927209615154333
CPI,0.40975053726176464
Business inventories,0.3469805478131425
Avg earnings,0.10224978865275744
Sentiment,0.01970170677835822
S&P500 close,0.01120361426973634
Housing starts,0.01117203149658218
